Judul,Tanggal,Jam Upload (WIB)
"RAKYAT SABAH SERUKAN KELUAR DARI MALAYSIA, KHAWATIR SABAH-SARAWAK BERGABUNG DENGAN INDONESIA",2025-11-21,7:30
"JIRAN CEMAS MINTA BANTUAN BANGLADESH SEMENTARA INDONESIA–RUSIA MAKIN MESRA, AUSTRALIA IKUT PANIK‼",2025-11-21,9:30
"MALAYSIA NEKAT DATANG KE G20 AFRIKA, TRUMP SAMPAI PERINGATKAN MALAYSIA, INDONESIA MAKIN BERSINAR",2025-11-21,13:30
"RATUSAN TON BUAH SEGAR PETANI INDONESIA TIBA DI PALESTINA, WARGA: BERTERIMAKASIH",2025-11-21,16:30
"INDONESIA PAMER TAJI MARITIM, OPV KETIGA RESMI DIBANGUN DI BATAM MALAYSIA GELISAH LIHAT GALANGAN RI",2025-11-21,18:30
"MALAYSIA AJAK BRUNEI GABUNG FEDERASI MALAYA, SULTAN BRUNEI TOLAK MENTAH-MENTAH",2025-11-22,8:00
"PRIA BANGLA SEMAKIN BERKUASA JADI IDOLA WANITA MELAYU MALAYSIA, MENGAPA⁉",2025-11-22,10:15
PAKAR PERTAHANAN MALAYSIA KAGET LIHAT PESAWAT TANPA AWAK BUATAN INDONESIA TERBANG RIBUAN KILOMETER,2025-11-22,12:30
"TAMU BESAR KONGLOMERAT RUSIA BEREBUT TEMUI PRABOWO, JIRAN TERDIAM RI JADI PUSAT EKONOMI BARU ASIA",2025-11-22,16:30
"TNI AL TUNJUKKAN TARINGNYA, MALAYSIA TERDIAM LIHAT KAPAL PERANG RI KEJAR KAPAL PEMBAWA TIMAL ILEGAL",2025-11-22,19:30
"GIBRAN PAMER QRIS INDONESIA DI DEPAN PEMIMPIN G20, VISA–MASTERCARD SEGERA MUSNAH",2025-11-23,8:30
"NEGARA ASEAN INI TERNYATA SEKUTU DEKAT ZIONIS ISRAEL, INDONESIA MURKA BERI ANCAMAN INI…",2025-11-23,10:30
"KAPAL PERUSAK SANGAR MILIK JEPANG SIAP JAGA SELAT MALAKA, MALAYSIA GELISAH, TNI KE-4 TERKUAT DUNIA",2025-11-23,13:00
"INGGRIS GABUNG INDONESIA BIKIN RIBUAN KAPAL IKAN FANTASTIS, PENCURI IKAN MALAYSIA TAK BISA TIDUR",2025-11-23,16:00
"MALAYSIA MALAH MAKIN DIINJAK CHINA, TNI PAMER PERANG GERILYA HADAPI ANCAMAN LAUT CHINA SELATAN",2025-11-23,19:00
"KERJA SAMA RI–YUNANI GEMPARKAN ASEAN‼ N219 MSA PUNYA “OTAK BARU”, MALAYSIA AUTO MERIANG",2025-11-24,7:30
"MALAYSIA TERSENTIL, PULUHAN RIBU PASUKAN TNI BENTENGI BANGKA & MOROWALI DARI PENJARAH ASET NEGARA",2025-11-24,10:30
"PM ANWAR MALAYSIA KAGET LIHAT KUATNYA PENGARUH INDONESIA DI G20, JIRAN HANYA “OMONG KOSONG⁉”",2025-11-24,13:00
"WAPRES GIBRAN BIKIN PM MALAYSIA TENGGELAM DI BELAKANG, POSISI INDONESIA MAKIN BERSINAR",2025-11-24,16:00
MALAYSIA JADI TERTAWAAN DUNIA SETELAH KETAHUAN NEGARA PALING SERING KLAIM BUDAYA INDONESIA,2025-11-24,18:30
"DPR MALAYSIA KAGET INDONESIA BERANI HANTAM KAPAL CHINA, NEGARANYA TAK BISA APA-APA",2025-11-25,7:30
BUNGA RAFLESIA HASELTI DIKLAIM MALAYSIA DARI ALAM MELAYU DPR JIRAN HEBOH MINTA DIGANTI NAMA,2025-11-25,12:30
"AKTIVIS MALAYSIA SEBUT NEGARANYA TAK PUNYA PAHLAWAN MACAM INDONESIA, NEGARANYA “JILAT” BRITISH⁉",2025-11-25,16:30
"INDONESIA UPGRADE KAPAL BUNG TOMO JADI MONSTER LAUT PENJAGA PERBATASAN, MALAYSIA WASPADA‼",2025-11-25,19:30
"PARLEMEN MALAYSIA KETAR-KETIR LIHAT KEKUATAN BESAR TNI, TAKUT ANCAMAN PERANG INDONESIA",2025-11-26,7:30
"BAYANGAN IKN NUSANTARA BIKIN MALAYSIA GELISAH, RUDAL KHAN DI KALIMANTAN SIAP AWASI SABAH & SARAWAK",2025-11-26,12:30
"MALAYSIA KAGET INDONESIA MAKIN SUPER POWER, PRABOWO BERHASIL BUAT TNI DISEGANI DUNIA",2025-11-26,16:00
"66 JUTA UMKM INDONESIA BANGKIT, SINGAPURA DIAMBANG RUNTUH 20 RIBU PEKERJA DI PHK MASSAL",2025-11-26,18:30
"MALAYSIA NGAMUK, MINTA ASKAR MEREKA JAGA GAZA & HINA TNI INDONESIA TAK LAYAK DIPILIH PBB",2025-11-27,7:30
"VIETNAM PUJI GIBRAN DI G20, TETANGGA MALU AKUI JADI WARGA MALAY PM ANWAR SEBUT JADI “TUMPUAN DUNIA”",2025-11-27,9:30
BONGKAR AKAL BUSUK AUSTRALIA DUKUNG TIMOR LESTE & OPM⁉ PANGDAM OPM TOLAK PERANG,2025-11-27,12:30
KARMA SINGAPURA AKIBAT SOMBONG SEBUT NEGARA TERKAYA DI ASEAN KINI WARGANYA BANGKRUT MASSAL,2025-11-27,15:20
"THAILAND NGAMUK KE MALAYSIA, DESAK PM ANWAR MUNDUR‼ INDONESIA PANTAS JADI ACUAN ASEAN",2025-11-27,18:30
"PRABOWO TERBANG KE IRAN, DPR MALAYSIA DESAK ASKAR TIRU KEBERANIAN TENTARA INDONESIA LAWAN CHINA",2025-11-28,7:30
NETIZEN MALAYSIA EJEK INDONESIA KLAIM BERJASA: “BERAS KORANG LAKU DI PASARAN SEBAB KAMI‼”,2025-11-28,10:15
"INDONESIA BALIKKAN PETA EKONOMI‼ MENKEU PURBAYA PULANGKAN DANA RAKSASA, SINGAPURA AKAN BANGKRUT",2025-11-28,13:00
"TNI AL KIRIM KAPAL RUMAH SAKIT & 5.000 PASUKAN KE GAZA, MALAYSIA PANIK‼️",2025-11-28,16:30
"MALAYSIA TERDIAM, INDONESIA KIRIM PASUKAN PENGINTAI KE GAZA",2025-11-28,19:30
"RUDAL ITBM INDONESIA JANGKAU WILAYAH STRATEGIS, SIAP HANTAM TARGET MALAYSIA⁉️",2025-11-29,7:30
"PRABOWO BANGUN KEKUATAN BESAR, PASUKAN ELIT DISEBAR, ISRAEL KAGET INDONESIA LATIH PASUKAN DI GAZA",2025-11-29,9:30
"MALAYSIA-SINGAPURA PANIK PENYELUNDUPAN DIBABAT HABIS, PRABOWO & PURBAYA ANCAM BUBARKAN BEA CUKAI",2025-11-29,13:00
"SENJATA MAKAN TUAN, NIAT PAMER TUMPUAN DUNIA, PM MALAYSIA MALAH BIKIN RAKYATNYA MALU BESAR",2025-11-29,15:30
TAMIL & CHINESE KORBAN RASISME BULE BANDINGKAN MALAYSIA DENGAN INDONESIA,2025-11-29,19:00
PUTIN NGAMUK‼️ RUSIA BIKIN AUSTRALIA PANIK GANGGU PAPUA DAN INDONESIA,2025-11-30,7:30
"MALAYSIA NEKAT TANTANG INDONESIA, PRABOWO TAK TINGGAL DIAM, JIRAN DIAMBANG GULUNG TIKAR⁉",2025-11-30,10:00
"GEMPAR‼ PRABOWO KIRIM 20 RIBU PRAJURIT TNI KE GAZA, ISRAEL & AS PANIK BESAR",2025-10-01,7:30
"TNI AL RI GEMPARKAN DUNIA‼ IKUTI LATIHAN DI ITALIA, DISEJAJARKAN DENGAN AS & NATO, JIRAN AUTO KAGET",2025-10-01,10:30
"MEMANAS‼ SABAH SARAWAK “DIANAKTIRIKAN”, INGIN LEPAS DARI MALAYSIA, NARASI GABUNG NKRI MENGUAT‼",2025-10-01,13:00
"MALAYSIA HERAN‼ TAK CUMA KIRIM PASUKAN KE PERANCIS & INDIA, TNI DAPAT UNDANGAN DARI PAKISTAN",2025-10-01,18:30
TEGANG PESAWAT ISRAEL “PUTAR BALIK” LIHAT KAPAL SPANYOL & ITALIA LINDUNG KAPAL DARI SERANGAN ISRAEL,2025-10-01,20:30
"MEMANAS‼ DPR MALAYSIA DESAK AGAR TKI INDONESIA KEMBALI, JIRAN PANIK KEKURANGAN TENAGA",2025-10-02,7:30
MALAYSIA TERTINGGAL‼ GENGSI KAGUMI RI‼ INDONESIA MILIKI KERETA CEPAT TERPANJANG DI ASEAN,2025-10-02,9:30
"GEMPAR‼ ASING BERBONDONG DATANG KE PT PINDAD SETELAH MALAYSIA, KINI GILIRAN UEA GANDENG KEKUATAN RI",2025-10-02,12:30
"GILA MEMALUKAN‼ REPUTASI FAM MALAYSIA HANCUR LEBUR, FIFA RESMI KASIH HUKUMAN, BIKIN MALU SE-ASEAN",2025-10-02,15:30
"GEGER‼ REPUTASI MALAYSIA TERANCAM RUNTUH, INDONESIA SIAP JADI MAGNET DATA CENTER ASEAN",2025-10-02,18:30
"GEMPAR‼️ F-35 AS, AUSTRALIA & JEPANG PAMER KEKUATAN KASIH PESAN KERAS BUAT RUSIA DAN SEKUTUNYA",2025-10-02,20:30
"MALAYSIA KENA KARMA‼ STOP TKI INDONESIA, SEKARANG BANGLADESH MEMBLUDAK TAK TERBENDUNG",2025-10-03,7:30
"GEMPAR‼ MALAYSIA SAKIT HATI MELIHAT RI DEKAT DENGAN RUSIA, JIRAN PANAS DINGIN RI BISA MASUK BRICS+",2025-10-03,9:30
"RENCANA GILA RI‼ PRABOWO MAU JATUHKAN DOMINASI DOLAR, MALAYSIA DAN ASEAN TERCENGANG",2025-10-03,13:00
ORGANISASI BENTUKAN MALAYSIA MIRIP BRICS ANCAM PERPISAHAN⁉️NEGARA ANGGOTA PILIH MENDEKATI INDONESIA,2025-10-03,16:30
"MALAYSIA KETAR-KETIR‼ BUNTUT LAPORKAN KE BRITISH, INDONESIA SIAP DIBACKING PUTIN & XI JINPING",2025-10-04,7:30
"MALAYSIA KEOK‼ PASUKAN INDONESIA BERHASIL KUASAI AMBALAT, GERTAKAN INGGRIS TAK DIGUBRIS",2025-10-04,9:30
"GEMPAR‼ KEKUATAN MILITER INDONESIA VS MALAYSIA, SIAPA YANG LEBIH PERKASA DI MEDAN TEMPUR⁉",2025-10-04,12:30
"SINGAPURA PANIK‼ EKONOMI TERANCAM RUNTUH, TERPAKSA MINTA BANTUAN MALAYSIA UNTUK LAWAN RI",2025-10-04,15:30
"GEMPAR‼ MALAYSIA PANIK‼ PRABOWO TEGAS MINTA INGGRIS HENTIKAN INTERVENSI, SINGAPURA KETAR-KETIR",2025-10-04,18:30
"INDONESIA MAKIN DISEGANI DI DUNIA‼️ MALAYSIA MALAH KEBAKARAN JENGGOT, BRITISH TURUN TANGAN",2025-10-04,20:30
"MALAYSIA JADI LAWAKAN‼ MALU BESAR, AROGANSI PANGERAN “MANJA” MALAYSIA DIKASIH PAHAM NETZ",2025-10-05,7:30
"MALAYSIA TERKEJUT‼ TURIS FILIPINA SYOK GAK PERCAYA, BRT INDONESIA LEBIH KEREN DARI NEGARANYA",2025-10-05,9:30
MALAYSIA GERAM‼ PRESIDEN INDONESIA DAPAT PENGHORMATAN LUAR BIASA DAN DISEGANI DARIPADA PM MALAYSIA,2025-10-05,12:30
MENGEJUTKAN‼ SPANYOL MINTA BANTUAN INDONESIA & ASEAN BEBASKAN KAPAL FLOTILLA LAWAN KEANGKUHAN ISRAEL,2025-10-05,15:30
"HEBOH‼ MALAYSIA TANTANG PRABOWO, TAPI BALASANNYA BIKIN NEGERI JIRAN KETAR-KETIR",2025-10-05,18:30
"MALAYSIA KAPOK‼ KAPAL-KAPAL ILEGAL DITENGGELAMKAN INDONESIA, KLAIM WILAYAH DI AMBALAT MAKIN MEMANAS",2025-10-06,7:30
VIETNAM INGATKAN MALAYSIA‼ JANGAN MAIN-MAIN SAMA INDONESIA MEREKA PUNYA TNI SANGAT KUAT‼,2025-10-06,9:30
MALAYSIA PUCAT‼ KLAIM TENTARA TERKUAT DUNIA‼ NETIZEN: INI LATIHAN ATAU KONTEN KOMEDI? BIKIN NGAKAK,2025-10-06,14:00
"PENAMPILAN SPEKTAKULER HUT TNI BIKIN DUNIA GEMETAR, SEMENTARA MALAYSIA MALAH JADI LAWAKAN NETIZEN",2025-10-06,15:30
MALAYSIA KEHERANAN‼️MEDIA INGGRIS KAGUM MENTAL JUANG DAN KERAMAHAN RAKYAT INDONESIA SULIT DITANDINGI,2025-10-06,18:30
"MALAYSIA HERAN‼️INDONESIA BIKIN KAPAL SELAM SENDIRI, PARADE MILITER HUT TNI KE-80, MALAYSIA GEMETAR",2025-10-06,20:30
MERINDING‼️SEMENGERIKAN APA HANTU LAUT⁉️HANTU LAUT & 4 KRI SIAGA PENUH DI AMBALAT SIAGA MAU PERANG⁉️,2025-10-07,7:30
"MEMANAS‼ DPR MALAYSIA DESAK RI, MINTA TKI DIKEMBALIKAN KE MALAYSIA KARENA BANGLA MEMBLUDAK",2025-10-07,9:30
"DULU NYINYIR DAN EJEK INDONESIA‼ MALAYSIA KINI KEWALAHAN, WARGA BANGLA MENJAMUR KUASAI EKONOMI LOKAL",2025-10-07,12:30
"MALAYSIA KETAR-KETIR‼ TNI PAMER KAPAL INDUK GARIBALDI, NGAKAK BEDA JAUH PARADE MILITER TNI VS ASKAR",2025-10-07,15:30
"GEMPAR‼ BELANDA NEKAT MINTA GANTI RUGI SELAMA MENJAJAH KE INDONESIA, RAKYAT GERAM",2025-10-07,18:30
ALASAN GILA PERTAMINA OGAH BANGUN KILANG BARU RUGIKAN NEGARA TRILIUNAN LANGSUNG KENA SKAKMAT PURBAYA,2025-10-07,20:30
"TNI GEMPARKAN ASEAN‼ RI DATANGKAN 6 JET TEMPUR BARU, BEDA JAUH DARI HAWK (KERANDA TERBANG) MALAYSIA",2025-10-08,7:30
"STRATEGI PRABOWO & PURBAYA BIKIN ASEAN KETAR-KETIR, DOLLAR MAU DIUBAH JADI RP5.000",2025-10-08,9:30
"KETERLALUAN‼ LAGI-LAGI MALAYSIA HINA INDONESIA‼ NETIZEN GERAM, LANGSUNG KENA ULTI & COUNTER BALIK",2025-10-08,12:30
"BIKIN BANGGA‼ POLRI INDONESIA DITERJUNKAN PBB KE AFRIKA SEBAGAI PENJAGA PERDAMAIAN, MALAYSIA PANAS‼",2025-10-08,19:00
SIASAT LICIK AUSTRALIA‼ PUKPUK TREATY AUSTRALIA-PAPUA NUGINI SIAP MENGEPUNG RI⁉ PRABOWO MURKA‼,2025-10-09,7:30
HEBOH RAJA & PM BELANDA MENYESAL‼ MINTA MAAF ATAS PENJAJAHAN KEPADA RAKYAT INDONESIA,2025-10-09,9:30
DPR MALAYSIA MARAH‼ MALU BESAR SETELAH FIFA BONGKAR SKANDAL NATURALISASI SALAHKAN INDONESIA,2025-10-09,12:30
"MALAYSIA HEBOH‼ PM MENGELUH KAPAL PERANGNYA UDAH UZUR, IRI INDONESIA PUNYA KAPAL INDUK",2025-10-09,15:30
"SIAGA PERANG ASIA‼ JEPANG GANDENG INDONESIA & ASEAN, FORMASI PENJAGA INDO-PASIFIK MULAI TERBENTUK‼",2025-10-09,18:30
"PANAS‼ MALAYSIA MURKA WARGANYA DICULIK ISRAEL, PM ANWAR KUTUK KERAS ZIONIS",2025-10-10,7:30
HEBOH MALAYSIA HINA RAKYAT INDONESIA MISKIN MELARAT‼ LANGSUNG KICEP DIBALAS TEGAS NETIZEN INDONESIA,2025-10-10,9:30
"PANAS‼ MALAYSIA MURKA WARGANYA DICULIK ISRAEL, PM ANWAR KUTUK KERAS ZIONIS",2025-10-10,7:30
HEBOH MALAYSIA HINA RAKYAT INDONESIA MISKIN MELARAT‼ LANGSUNG KICEP DIBALAS TEGAS NETIZEN INDONESIA,2025-10-10,9:30
WOW BANGGA‼ PRODUK INDONESIA BERJEJER DI RAK-RAK SUPERMARKET ASIA-EROPA‼ MALAYSIA AUTO CEMBURU & IRI,2025-10-10,13:00
"HEBOH‼ TURIS MALAY GEMETAR LIHAT JAKARTA, DIKIRA DUBAI TERNYATA INDONESIA, KOTA INI JAUH LEBIH GILA‼",2025-10-10,15:30
400 PERUSAHAAN PRANCIS BERSATU UNTUK INDONESIA‼ PESANAN JET TEMPUR RAFALE BIKIN JIRAN KALANG KABUT,2025-10-10,18:30
"GEGER‼️ PROFESOR MALAYSIA SEBUT NEGERINYA 400X LEBIH INDAH DARI THAILAND, NETIZEN NGAKAK‼️",2025-10-10,20:30
"INDONESIA MENGAUM‼️RUDAL KHAN MACAN ASEAN, LAUT CHINA SELATAN & AMBALAT PANAS‼️MALAYSIA AUTO GEMETAR",2025-10-11,7:30
NGERI‼ INDONESIA AKAN BELI 10 UNIT KAPAL SELAM YUAN CHINA & PROYEK KSOT BIKIN MALAYSIA PANAS DINGIN‼,2025-10-11,9:30
"SIAGA TEMPUR‼ MILITER INDO SIAP LAKUKAN SERANGAN MEMATIKAN KE PANGKALAN MUSUH, JIRAN AUTO CEMAS‼",2025-10-11,12:30
AUSTRALIA-INDONESIA BERSATU‼KOPASSUS DIKAGUMI AUSTRALIA JADI PASUKAN ELITE DUNIA‼ MALAYSIA CIUT,2025-10-11,15:30
INDONESIA SIAP GUNCANG ASIA‼ KAPAL SELAM BUATAN DALAM NEGERI BIKIN VIETNAM & MALAYSIA KETAR-KETIR‼,2025-10-11,18:30
INDONESIA SALIP MALAYSIA‼️PROYEK KAPAL INDUK GARIBALDI JADI KEBANGKITAN KEKUATAN MARITIM NUSANTARA,2025-10-12,7:30
"INDONESIA TAK TAKUT‼ TNI AL & SINGAPURA BERSATU PERKUAT PENJAGAAN SELAT MALAKA, MALAYSIA MALAH DIAM‼",2025-10-12,9:30
INDONESIA KEMBALI BIKIN GEMPAR‼ FILIPINA PESAN KAPAL PERANG KE PT PAL,2025-10-12,12:30
INDONESIA RESMI NYALAKAN API‼ RUDAL KHAN BIKIN LIMA NEGARA DI KAWASAN TAK BERANI MACAM-MACAM‼,2025-10-12,16:30
INDONESIA GUNCANG ASIA‼ KAPAL INDUK GARIBALDI BIKIN MEDIA VIETNAM DAN MALAYSIA GEMETAR‼,2025-10-12,18:30
MEDIA ASING SOROT PRESTASI PILOT INDONESIA TERBANGKAN KF-21 BORAMAE TNI AU BUKTIKAN KEKUATAN NYATA,2025-10-12,20:30
BUKAN TRUMP⁉️PRABOWO PENGGERAK UTAMA DI BALIK GENCATAN SENJATA‼️PRABOWO KUNCI PERDAMAIAN PALESTINA,2025-10-13,7:30
"MALAYSIA GADUH‼ MENTERINYA SAJIKAN ARAK SAAT ACARA NEGARA, KOK BAWA-BAWA INDONESIA",2025-10-13,9:30
"RAKYAT MALAYSIA MURKA‼ PM ANWAR MENGELUH KAPAL PERANG DAH TUA, IRI INDONESIA PUNYA KAPAL INDUK‼",2025-10-13,12:30
"MALAYSIA HEBOH‼ ARMADA PERANGNYA REYOT, INDONESIA PAMER KAPAL PERANG SUPER CANGGIH‼",2025-10-13,15:30
TURIS MALAYSIA GEMETAR LIHAT MALL INDONESIA LEBIH GILA DARI DUBAI‼️MALL MALAYSIA TAK ADA APA-APANYA,2025-10-13,18:30
"SABAH BERGEJOLAK‼ RIBUAN WARGA WARGA MULAI GERAH, SERUKAN KEADILAN DAN OTONOMI “MERDEKA”",2025-10-14,7:30
MALAYSIA HEBOH LIHAT SPANYOL SEBUT INDONESIA JADI PEMAIN UTAMA INDUSTRI SENJATA PERANCIS‼,2025-10-14,9:30
"GEMPAR‼ MALAYSIA SEJAJARKAN INDONESIA DENGAN NEGARA ADIDAYA, INDONESIA JADI KEKUATAN BARU ASIA‼",2025-10-14,12:30
GEMPAR‼ INDONESIA DISEGANI DUNIA‼ PRABOWO DIBERIKAN KEHORMATAN BESAR OLEH TRUMP ATAS PERDAMAIAN GAZA,2025-10-14,15:30
GEMPAR‼️MEDIA RUSIA UNGKAP INDONESIA DAPAT KAPAL INDUK DENGAN HARGA MURAH MERIAH‼️ARMADA JIRAN REYOT,2025-10-14,18:30
STOP TKI DATANG KE MALAYSIA‼️MENGERIKAN KINI BANGLADESH NOMOR SATU TERBANYAK DI MALAYSIA,2025-10-14,20:30
"PRABOWO DIARAK RATUSAN RIBU WARGA MESIR DIANGGAP BAWA PERDAMAIAN PALESTINA, MALAYSIA TAK DIANGGAP‼️",2025-10-15,7:30
"MALAYSIA MURKA‼ TAK DIAJAK DI PERJANJIAN DAMAI PALESTINA-ISRAEL, INDONESIA MALAH DIHORMATI‼",2025-10-15,9:30
HEBOH‼ WARGA MALAYSIA MALU BESAR BENDERA ISRAEL BERKIBAR GAGAH DI MALAYSIA‼ NETIZEN MALAYSIA PANIK,2025-10-15,12:30
"GEMPAR‼ VIETNAM BEBERKAN RAHASIA RUDAL BALISTIK KHAN INDONESIA — MUSUH TAK BISA LARI,",2025-10-15,15:30
MALAYSIA KECEWA TAK DIUNDANG‼ PM ANWAR IBRAHIM IRI DENGAN PERAN INDONESIA DI KTT PERDAMAIAN GAZA‼,2025-10-15,18:15
MEDIA ISRAEL HEBOH‼ SEBUT INDONESIA PUNYA PELUANG BESAR NORMALISASI DENGAN TEL AVIV‼,2025-10-16,9:00
"MALAYSIA & FPDA KETAR-KETIR‼ INDONESIA PUNYA KAPAL SELAM KSOT BUATAN RI, MEDIA VIETNAM TERPUKAU",2025-10-16,11:30
GUNCANG DUNIA‼ PRABOWO JADI SIMBOL KEBANGKITAN NEGARA ISLAM & PALESTINA MERDEKA‼ BARAT TAK BERDAYA,2025-10-16,14:30
TNI BERSIAP KE GAZA‼ MALAYSIA KAGET INDONESIA SANGAT DIHORMATI DI DUNIA SEMENTARA MEREKA DIABAIKAN,2025-10-16,15:30
HEBOH‼ MENKEU PURBAYA BUKA SUARA SOAL JET TEMPUR CHENGDU CHINA & ANGGARAN PONPES CAK IMIN,2025-10-16,18:30
"GEMPAR‼️ RAKYAT MALAYSIA NGAMUK TAK TERIMA DIBILANG MISKIN, KARMA SERING HINA INDONESIA MISKIN⁉️",2025-10-16,20:30
"DIKEPUNG FPDA & AUSTRALIA, TAPI INDONESIA MAKIN KUAT DAN DISEGANI DIDUNIA‼ RI PETANTANG-PETENTENG",2025-10-17,7:30
NGERI‼ BATAM SIAP TANTANG SINGAPURA & MALAYSIA JIRAN GEMETAR BATAM JADI GERBANG EMAS PERDAGANGAN,2025-10-17,9:30
MALAYSIA CEMBURU‼ PERAN INDONESIA DAMAIKAN PALESTIAN BIKIN JIRAN IRI,2025-10-17,13:00
MALAYSIA GEMETAR LIHAT DETIK-DETIK AKSI SUPER TUCANO TNI RATAKAN MARKAS OPM PAPUA DI PEGUNUNGAN,2025-10-17,16:30
"RI GUNCANG DUNIA‼️TNI KIRIM PRAJURIT KE AFRIKA TENGAH, MALAYSIA CEMAS, RI SEMAKIN DISEGANI DUNIA‼️",2025-10-17,18:30
"BAK DIKEPUNG‼ PRABOWO KERAHKAN KEKUATAN LAUT & UDARA DI BABEL, MALAYSIA & FPDA IKUT KETAR-KETIR‼",2025-10-18,7:30
TNI SIAGA TEMPUR DI AMBALAT‼️ MALAYSIA GEMETAR LIHAT DERETAN KAPAL PERANG RI DEKAT PERBATASAN‼️,2025-10-18,9:30
PRABOWO BIKIN DUNIA TERDIAM‼️ MALAYSIA SAMPAIKAN TERIMAKASIH ATAS PERJUANGAN RI UNTUK PALESTINA,2025-10-18,12:30
"PRAJURIT MARINIR PAMER AKSI TEMPUR DIHADAPAN PANGLIMA AUSTRALIA, MALAY & FPDA GEMETAR TAK MENYANGKA‼",2025-10-18,16:30
"SPANYOL PILIH INDONESIA BANGUN PABRIK EKSPOR EROPA‼ MALAYSIA GIGIT JARI, EKSPOR RI AUTO NAIK TAJAM‼",2025-10-18,18:30
"INDONESIA JADI POROS LISTRIK‼ DUNIA AKUI POTENSI ENERGI HIJAU RI, MALAYSIA TERANCAM GELAP GULITA",2025-10-19,7:30
GEMPAR SEMUA TERJAWAB‼ NEGARA ARAB TAK MAU MALAYSIA DIUNDANG DI KTT DAMAI GAZA 2025,2025-10-19,9:30
"SABAH & SERAWAK MAU LEPAS DARI MALAYSIA, DIANGGAP HADIAH INGGRIS PADAHAL MALAYSIALAH CIPTAAN INGGRIS",2025-10-19,13:00
DUNIA TEPUK TANGAN‼ INDONESIA JADI SOROTAN DUNIA NEGARA ASEAN PERTAMA WUJUDKAN PERDAMAIAN PALESTINA,2025-10-19,15:30
JIRAN MALU BESAR !! KOTA DI MALAYSIA DINOBATKAN SEBAGAI YANG PALING JOROK DI ASIA,2025-10-19,20:45
"INDONESIA BIKIN GEMPAR DUNIA‼️BAHASA INDONESIA RESMI DIPAKAI DI SIDANG UMUM PBB, MALAYSIA KEPANASAN",2025-10-20,7:30
BANGGA‼ PRABOWO BERHASIL DAMAIKAN GAZA & BERIKAN BEASISWA ANAK PALESTINA,2025-10-20,9:30
"INDONESIA GEMPARKAN DUNIA‼ RI AKUISISI RUDAL PEMBUNUH KAPAL & JET TEMPUR J-10, JIRAN AUTO GEMETAR",2025-10-20,12:30
"MALAYSIA NGIRI‼ INGIN BELI JET TEMPUR KAAN SEPERTI INDONESIA, TAPI ANGGARANNYA TAK CUKUP",2025-10-20,16:30
"AMERIKA TERANCAM BANGKRUT‼ BRICS+ BERSATU TINGGALKAN DOLLAR, EMAS SIAP TEMBUS RP 5 JUTA/GRAM",2025-10-20,18:30
"AMUKAN NELAYAN‼️ 100 PERAHU NELAYAN SAMPANG KEPUNG KAPAL PETRONAS, MALAYSIA LANGSUNG KALANG KABUT",2025-10-20,20:30
"INDONESIA BIKIN GEMPAR DUNIA‼️BAHASA INDONESIA RESMI DIPAKAI DI SIDANG UMUM PBB, MALAYSIA KEPANASAN",2025-10-20,7:30
BANGGA‼ PRABOWO BERHASIL DAMAIKAN GAZA & BERIKAN BEASISWA ANAK PALESTINA,2025-10-20,9:30
"INDONESIA GEMPARKAN DUNIA‼ RI AKUISISI RUDAL PEMBUNUH KAPAL & JET TEMPUR J-10, JIRAN AUTO GEMETAR",2025-10-20,12:30
"MALAYSIA NGIRI‼ INGIN BELI JET TEMPUR KAAN SEPERTI INDONESIA, TAPI ANGGARANNYA TAK CUKUP",2025-10-20,16:30
"AMERIKA TERANCAM BANGKRUT‼ BRICS+ BERSATU TINGGALKAN DOLLAR, EMAS SIAP TEMBUS RP 5 JUTA/GRAM",2025-10-20,18:30
"AMUKAN NELAYAN‼️ 100 PERAHU NELAYAN SAMPANG KEPUNG KAPAL PETRONAS, MALAYSIA LANGSUNG KALANG KABUT",2025-10-20,20:30
"NGAKAK‼️MALAYSIA NGAKU KETURUNAN NABI, PUNYA “ALAM MELAYU”, TAK DIUNDANG KE KTT PERDAMAIAN GAZA 2025",2025-10-21,7:30
"MALAYSIA HEBOH‼ INDONESIA UNTUNG 13 TRILIUN, MALAYSIA MALAH RUGI & HUTANG TERTINGGI KE-2 ASEAN‼",2025-10-21,9:30
"MEMALUKAN‼ PM ANWAR IBRAHIM TOLAK DAMAI GAZA–ISRAEL, MALAYSIA DIANGGAP TAK PENTING DI MATA DUNIA",2025-10-21,16:00
DULU HINA INDONESIA MISKIN‼️ KINI MALAYSIA IRI PRABOWO UMUMKAN MOBIL BUATAN DALAM NEGERI‼️,2025-10-21,21:00
"HEBOH‼ PRA­BOWO SUKSES LOBI ARAB SAUDI UBAH UNDANG-UNDANG DEMI INDONESIA, MALAYSIA AUTO MELONGO‼",2025-10-22,7:30
"PRABOWO & STEVE FORBES PAKAI BATIK BIKIN FORUM INTERNASIONAL JADI MELOKAL, JIRAN SIBUK KLAIM BATIK",2025-10-22,9:30
"BANGGA‼ 33 HOTEL & RESOR INDONESIA RAIH PENGHARGAAN DUNIA, MALAYSIA TAK SATUPUN MASUK DAFTAR‼",2025-10-22,13:00
"INDONESIA TAMPIL PERKASA KIRIM 20 RIBU PASUKAN, MALAYSIA CUMA 1 BATALYON, BIKIN GELENG KEPALA",2025-10-22,15:30
