Judul;Tanggal;Jam Upload (WIB);;;;;;;;;;;;;;;;;;;;;;;
AMERIKA HANCUR LEBUR! TRUMP KETAKUTAN...;2026-03-22;13.15;;;;;;;;;;;;;;;;;;;;;;;
HEBOH! WNI TUNJUKKAN LOKASI PERSEMBUNYIAN...;2026-03-22;16.15;;;;;;;;;;;;;;;;;;;;;;;
MALAYSIA PUSING! KRISIS PANGAN SAMPAI NGEMIS...;2026-03-22;19.15;;;;;;;;;;;;;;;;;;;;;;;
TAK MAMPU HIDUP DI NEGARANYA, WARGA SINGAPURA...;2026-03-23;07.15;;;;;;;;;;;;;;;;;;;;;;;
SEMUA AMUNISI AS-ISRAEL HABIS! TRUMP MOHON AMPUN...;2026-03-23;10.15;;;;;;;;;;;;;;;;;;;;;;;
NATO-EROPA MELAWAN AS, BELA IRAN!...;2026-03-23;12.15;;;;;;;;;;;;;;;;;;;;;;;
DIHANTAM RUDAL 20 TON IRAN, PETINGGI ISRAEL MEWEK...;2026-03-23;16.15;;;;;;;;;;;;;;;;;;;;;;;
IRAN ULTIMATUM ISRAEL! PILIH MATI ATAU SELAMAT?...;2026-03-23;19.15;;;;;;;;;;;;;;;;;;;;;;;
PUTIN BIKIN AS-NATO-EROPA GEMETAR KETAKUTAN?...;2026-03-24;07.15;;;;;;;;;;;;;;;;;;;;;;;
TRUMP GEMETAR! AKUI DRONE SHAHED IRAN...;2026-03-24;10.15;;;;;;;;;;;;;;;;;;;;;;;
MUSTAHIL KALAH! IRAN BENTENG TERAKHIR MUSLIM...;2026-03-24;13.15;;;;;;;;;;;;;;;;;;;;;;;
RUSIA-CHINA BANTU IRAN HANCURKAN AS!...;2026-03-24;16.15;;;;;;;;;;;;;;;;;;;;;;;
HEBOH! GARA-GARA INDONESIA MALAYSIA BERUBAH...;2026-03-24;19.15;;;;;;;;;;;;;;;;;;;;;;;
GEMPAR! 400 RUDAL IRAN LEDAKKAN NUKLIR ISRAEL!...;2026-03-25;07.15;;;;;;;;;;;;;;;;;;;;;;;
BIKIN HEBOH! DPR MALAYSIA CEMAS!...;2026-03-25;10.15;;;;;;;;;;;;;;;;;;;;;;;
GAK ADA KATA AMPUN! IRAN MULAI BERANI PAKAI NUKLIR!...;2026-03-25;13.15;;;;;;;;;;;;;;;;;;;;;;;
HEBOH! NAMA MALAYDESH MAKIN MENDUNIA!...;2026-03-25;16.15;;;;;;;;;;;;;;;;;;;;;;;
MALAYSIA TAK TERIMA! BAHASA INDONESIA DIRESMIKAN...;2026-03-25;19.15;;;;;;;;;;;;;;;;;;;;;;;
MEMALUKAN! MALAYSIA DI DEMO TKI DAN BANGLADESH...;2026-03-26;07.15;;;;;;;;;;;;;;;;;;;;;;;
GEMPAR! KIM JONG-UN PIMPIN PERANG IRAN...;2026-03-26;10.15;;;;;;;;;;;;;;;;;;;;;;;
GEMPAR! 10 BANK AMERIKA JADI ABU DIHAJAR IRAN...;2026-03-26;13.15;;;;;;;;;;;;;;;;;;;;;;;
AMERIKA RESMI TARIK MUNDUR PULUHAN RIBU PASUKAN...;2026-03-26;16.15;;;;;;;;;;;;;;;;;;;;;;;
AS KEWALAHAN TRUMP NGEMIS MINTA STOP PERANG IRAN‼️...;2026-03-26;18.15;;;;;;;;;;;;;;;;;;;;;;;
FILIPINA COLLAPSE, MALAYSIA NANGIS‼️...;2026-03-26;20.15;;;;;;;;;;;;;;;;;;;;;;;
HEBOH! 500 JUTA BURUNG GAGAK BANTU IRAN RATAKAN...;2026-03-27;07.30;;;;;;;;;;;;;;;;;;;;;;;
AMERIKA TERJEPIT! MAKIN BANYAK PETINGGI AS...;2026-03-27;10.15;;;;;;;;;;;;;;;;;;;;;;;
MALAYSIA DITELAN BANGLADESH! KRISIS IDENTITAS...;2026-03-27;13.15;;;;;;;;;;;;;;;;;;;;;;;
AMERIKA NGEMIS MINTA DAMAI KE IRAN‼️...;2026-03-27;16.15;;;;;;;;;;;;;;;;;;;;;;;
NIAT HATI PROMOSI BAHASA MELAYU...;2026-03-27;18.15;;;;;;;;;;;;;;;;;;;;;;;
MALAYSIA MEMANAS‼️ SIAPA PEMILIK ASLI⁉️...;2026-03-27;20.15;;;;;;;;;;;;;;;;;;;;;;;
MEMALUKAN! MALAYSIA DI DEMO... (Shorts);2026-03-27;20.53;;;;;;;;;;;;;;;;;;;;;;;
PAKISTAN-KORUT-TURKI BANTU IRAN! ISRAEL-AS...;2026-03-28;07.30;;;;;;;;;;;;;;;;;;;;;;;
AS KEWALAHAN! MEDIA MENGULITI TRUMP...;2026-03-28;10.15;;;;;;;;;;;;;;;;;;;;;;;
AS NANGIS! PULUHAN JET TEMPUR & HELIKOPTER...;2026-03-28;13.15;;;;;;;;;;;;;;;;;;;;;;;
JIRAN MELONGO‼️ ITALIA PILIH INDONESIA...;2026-03-28;16.15;;;;;;;;;;;;;;;;;;;;;;;
HAYOO MAU KABUR KEMANA LAGI‼️ GAK ADA TEMPAT...;2026-03-28;18.15;;;;;;;;;;;;;;;;;;;;;;;
GEMPAR‼️ AMERIKA KEHABISAN RUDAL...;2026-03-29;07.15;;;;;;;;;;;;;;;;;;;;;;;
PARAH! RAKYAT MALAYSIA BERTERIAK!...;2026-03-29;11.30;;;;;;;;;;;;;;;;;;;;;;;
PASUKAN AS KALAH TELAK! KAPAL TEMPUR...;2026-03-29;13.15;;;;;;;;;;;;;;;;;;;;;;;
NGERI! RATUSAN MAYAT BERSERAKAN DI ISRAEL...;2026-03-29;16.15;;;;;;;;;;;;;;;;;;;;;;;
AS KEWALAHAN TRUMP NGEMIS MINTA STOP... (Shorts);2026-03-29;17.00;;;;;;;;;;;;;;;;;;;;;;;
TRUMP KENA PRANK! PRABOWO BERHASIL AMANKAN...;2026-03-29;18.15;;;;;;;;;;;;;;;;;;;;;;;
DETIK-DETIK RUNTUHNYA DOLLAR AS!...;2026-03-29;20.15;;;;;;;;;;;;;;;;;;;;;;;
SATU JUTA PASUKAN IRAN TURUN PERANG‼️...;2026-03-30;07.15;;;;;;;;;;;;;;;;;;;;;;;
50 RIBU PASUKAN AS LENYAP! AS PANIK...;2026-03-30;13.15;;;;;;;;;;;;;;;;;;;;;;;
9 JUTA RAKYAT AS NGAMUK‼️ DEMO GULINGKAN...;2026-03-30;16.15;;;;;;;;;;;;;;;;;;;;;;;
HEBOH‼️ WARGA SINGAPURA-MALAYSIA HERAN...;2026-03-30;18.30;;;;;;;;;;;;;;;;;;;;;;;
TRUMP TERANCAM BAHAYA‼️ RIBUAN TENTARA AS...;2026-03-30;20.15;;;;;;;;;;;;;;;;;;;;;;;
JUTAAN WARGA AS NGAMUK MEMBURU TRUMP‼️...;2026-03-31;07.15;;;;;;;;;;;;;;;;;;;;;;;
PRABOWO MURKA BESAR‼️ ISRAEL SERANG PASUKAN...;2026-03-31;10.15;;;;;;;;;;;;;;;;;;;;;;;
WARGA ISRAEL RASAKAN SIMULASI HIDUP DI NERAKA‼️...;2026-03-31;13.15;;;;;;;;;;;;;;;;;;;;;;;
DUNIA PANIK‼️ HARGA BBM NAIK GILA-GILAAN...;2026-03-31;16.15;;;;;;;;;;;;;;;;;;;;;;;
CHINA-RUSIA BANTU INDONESIA PERANG...;2026-03-31;19.15;;;;;;;;;;;;;;;;;;;;;;;
MEMANAS‼️ MALAYSIA PANIK, FILIPINA REBUT SABAH...;2026-04-01;19.45;;;;;;;;;;;;;;;;;;;;;;;
DUNIA PANIK‼️ HARGA BBM NAIK GILA-GILAAN (Shorts);2026-04-01;19.04;;;;;;;;;;;;;;;;;;;;;;;
MALAYSIA MENJERIT‼️BBM NAIK GILA-GILAAN...;2026-04-01;16.15;;;;;;;;;;;;;;;;;;;;;;;
PBB TURUN TANGAN‼️ DUNIA BERSATU BELA INDONESIA...;2026-04-01;13.15;;;;;;;;;;;;;;;;;;;;;;;
IRAN LEDAKKAN RIBUAN ALUTSISTA AS‼️...;2026-04-01;10.27;;;;;;;;;;;;;;;;;;;;;;;
MALAYSIA GANTI NAMA MENJADI MALAYDESH⁉️...;2026-04-01;07.15;;;;;;;;;;;;;;;;;;;;;;;
CHINA-RUSIA BANTU INDONESIA PERANG LAWAN ISRAEL‼️ (Shorts);2026-04-02;20.15;;;;;;;;;;;;;;;;;;;;;;;
PRABOWO MURKA AKTIFKAN MODE PERANG‼️...;2026-04-02;18.30;;;;;;;;;;;;;;;;;;;;;;;
PASUKAN CHECNYA TURUN TANGAN‼️...;2026-04-02;16.15;;;;;;;;;;;;;;;;;;;;;;;
MALAYSIA MALU ‼️ FAKTA TERBONGKAR BANI SARAPAN...;2026-04-02;13.15;;;;;;;;;;;;;;;;;;;;;;;
TNI BERGUGURAN DISERANG ISRAEL‼️...;2026-04-02;10.15;;;;;;;;;;;;;;;;;;;;;;;
DEMI INDONESIA & RAKYAT GAZA‼️...;2026-04-02;07.15;;;;;;;;;;;;;;;;;;;;;;;
RIBUAN RUDAL IRAN BERJATUHAN‼️ 39 TENTARA AS TEWAS SERENTAK...;2026-04-03;20.15;;;;;;;;;;;;;;;;;;;;;;;
INDONESIA JADI PENENTU NASIB 1 MILIAR ORANG!...;2026-04-03;18.30;;;;;;;;;;;;;;;;;;;;;;;
MENKEU PURBAYA JADI SOROTAN MALAYSIA-SINGAPURA!...;2026-04-03;16.15;;;;;;;;;;;;;;;;;;;;;;;
RATUSAN PASUKAN AS PULANG DALAM PETI MATI!...;2026-04-03;13.15;;;;;;;;;;;;;;;;;;;;;;;
MALAYSIA MENANGIS! HARGA BBM MENCEKIK...;2026-04-03;10.15;;;;;;;;;;;;;;;;;;;;;;;
MAMPUS! 100 TENTARA AS TEWAS, TRUMP MINTA AMPUN!...;2026-04-03;07.15;;;;;;;;;;;;;;;;;;;;;;;
MILITER AS KRISIS, 8 JENDERAL DIPECAT!...;2026-04-04;20.15;;;;;;;;;;;;;;;;;;;;;;;
ISRAEL-AS DIKUCILKAN! EROPA DIAM-DIAM LOBI IRAN!...;2026-04-04;18.30;;;;;;;;;;;;;;;;;;;;;;;
BBM INDONESIA NGGAK NGOTAK! WARGA THAILAND & MALAYSIA...;2026-04-04;16.15;;;;;;;;;;;;;;;;;;;;;;;
JADI GEMBEL DAN DIHANTUI RUDAL IRAN! ISRAEL SENGSARA...;2026-04-04;13.15;;;;;;;;;;;;;;;;;;;;;;;
3500 PASUKAN TENTARA AS MUSNAH SERENTAK!...;2026-04-04;10.15;;;;;;;;;;;;;;;;;;;;;;;
400 KILOGRAM BOM LENYAPKAN ISRAEL! TRUMP PANIK...;2026-04-04;07.15;;;;;;;;;;;;;;;;;;;;;;;
HEBOH! THAILAND MAKIN TERTINGGAL!...;2026-04-05;20.15;;;;;;;;;;;;;;;;;;;;;;;
GEMPAR! IRGC BASMI RIBUAN TENTARA ISRAEL!...;2026-04-05;18.15;;;;;;;;;;;;;;;;;;;;;;;
GEMPAR! TRUMP TERJANGKIT PENYAKIT MISTERIUS...;2026-04-05;16.15;;;;;;;;;;;;;;;;;;;;;;;
GEGER! PRABOWO DEKLARASIKAN PERANG LAWAN ISRAEL!...;2026-04-05;13.15;;;;;;;;;;;;;;;;;;;;;;;
WARGA IRAN SORAK-SORAI LIHAT JET AS MELEDAK!...;2026-04-05;10.15;;;;;;;;;;;;;;;;;;;;;;;
ISRAEL MENGGILA! 5 JUTA WARGA BEREBUT BUNKER...;2026-04-05;07.15;;;;;;;;;;;;;;;;;;;;;;;
PULUHAN PASUKAN ELIT AS TEWAS DIBANTAI IRAN...;2026-04-06;20.00;;;;;;;;;;;;;;;;;;;;;;;
TRUMP GEMETAR! IRAN TERLALU BRUTAL...;2026-04-06;18.30;;;;;;;;;;;;;;;;;;;;;;;
GEGER! SATU KOTA ISRAEL DITENGGELAMKAN...;2026-04-06;16.15;;;;;;;;;;;;;;;;;;;;;;;
AS TERKEPUNG! PRANCIS & INGGRIS MEMBELOT...;2026-04-06;13.15;;;;;;;;;;;;;;;;;;;;;;;
GEGER! PRABOWO DEKLARASIKAN PERANG LAWAN ISRAEL! (Shorts);2026-04-06;10.53;;;;;;;;;;;;;;;;;;;;;;;
CHAOS! RATUSAN TENTARA ISRAEL BUNDIR MASSAL!...;2026-04-06;07.15;;;;;;;;;;;;;;;;;;;;;;;
RUSIA-BELARUS INCAR INDONESIA BANGUN PROYEK ANTARIKSA...;2026-04-07;20.15;;;;;;;;;;;;;;;;;;;;;;;
KARM4 NYATA? PABRIK KIMIA MELEDAK! GAS BERACUN...;2026-04-07;18.30;;;;;;;;;;;;;;;;;;;;;;;
CHAOS! RATUSAN TENTARA ISRAEL BUNDIR MASSAL! (Shorts);2026-04-07;17.01;;;;;;;;;;;;;;;;;;;;;;;
TNI GAK SALAH APA-APA TERUS DISERANG! PRABOWO-SBY MURKA...;2026-04-07;16.15;;;;;;;;;;;;;;;;;;;;;;;
MALAYSIA KEBAKARAN JENGGOT! KENA MENTAL GARA-GARA BBM...;2026-04-07;13.15;;;;;;;;;;;;;;;;;;;;;;;
RIBUAN WARGA ZIONIS LENYAP‼️ SENATOR AS NGAMUK...;2026-04-07;10.15;;;;;;;;;;;;;;;;;;;;;;;
IRAN NGAMUK‼️ ISRAEL RATA DENGAN TANAH‼️...;2026-04-07;07.15;;;;;;;;;;;;;;;;;;;;;;;
PERSETAN AMERIKA! PRABOWO LAKUKAN AKSI GILA...;2026-04-08;20.15;;;;;;;;;;;;;;;;;;;;;;;
TRUMP GEMETAR! IRAN TERLALU BRUTAL... (Shorts);2026-04-08;19.00;;;;;;;;;;;;;;;;;;;;;;;
SENJATA MAKAN TUAN‼️ ISRAEL BANTAI KAUMNYA SENDIRI...;2026-04-08;18.30;;;;;;;;;;;;;;;;;;;;;;;
TRUMP NYERAH‼️ AS BERLUTUT DAN TURUTI SEMUA KEMAUAN IRAN...;2026-04-08;16.15;;;;;;;;;;;;;;;;;;;;;;;
TETANGGA IRI‼️ BBM MALAYSIA MEROKET GILA...;2026-04-08;13.15;;;;;;;;;;;;;;;;;;;;;;;
AS-ISRAEL BANGKRUT TOTAL! TRUMP & NETANYAHU BERLUTUT...;2026-04-08;10.15;;;;;;;;;;;;;;;;;;;;;;;
DUNIA GEMPAR! RUDAL IRAN BAKAR HABIS ZIONIS...;2026-04-08;07.15;;;;;;;;;;;;;;;;;;;;;;;
GEMPARKAN AS‼️ RIBUAN TENTARA TENGGELAM...;2026-04-09;20.00;;;;;;;;;;;;;;;;;;;;;;;
GEMPARKAN AS‼️ RIBUAN TENTARA TENGGELAM DI LAUT DIHAJAR RUDAL IRAN...;2026-04-09;20.00;;;;;;;;;;;;;;;;;;;;;;;
ISRAEL TAMAT! IRAN HANCURKAN JANTUNG TEL AVIV...;2026-04-09;18.30;;;;;;;;;;;;;;;;;;;;;;;
QATAR GABUNG IRAN! MEDIA BARAT AKUI ISRAEL HANCUR TOTAL...;2026-04-09;16.15;;;;;;;;;;;;;;;;;;;;;;;
BIKIN DUNIA MENANGIS! MEDIA ASING TAKJUB LIHAT ISAK TANGIS...;2026-04-09;13.15;;;;;;;;;;;;;;;;;;;;;;;
GEMPAR! TRUMP RESMI DIBORGOL! WARGA AS PESTA PORA...;2026-04-09;10.15;;;;;;;;;;;;;;;;;;;;;;;
PASUKAN ELIT IRAN PASANG BADAN UNTUK TNI!...;2026-04-09;07.15;;;;;;;;;;;;;;;;;;;;;;;
TRUMP RESMI DILENGSERKAN! SEMUA PASUKAN...;2026-04-10;20.15;;;;;;;;;;;;;;;;;;;;;;;
TRUMP TAMPAR NETANYAHU! SATU DUNIA DUKUNG...;2026-04-10;18.30;;;;;;;;;;;;;;;;;;;;;;;
PERANG MEMBARA! IRAN BALASKAN DENDAM...;2026-04-10;16.15;;;;;;;;;;;;;;;;;;;;;;;
GEMPARKAN DUNIA! JURNALIS AS BONGKAR...;2026-04-10;13.15;;;;;;;;;;;;;;;;;;;;;;;
ISRAEL TERJEPIT! SEMUA NEGARA HANCUR LEBURKAN...;2026-04-10;07.15;;;;;;;;;;;;;;;;;;;;;;;
WARGA ASING MELONGO! HARGA BBM INDONESIA STABIL...;2026-04-11;20.15;;;;;;;;;;;;;;;;;;;;;;;
ISRAEL TERKAPAR! IRAN LANJUT HUJANI RUDAL...;2026-04-11;18.30;;;;;;;;;;;;;;;;;;;;;;;
TRAGIS! TRUMP DISERET KE SEL TAHANAN!...;2026-04-11;16.15;;;;;;;;;;;;;;;;;;;;;;;
5 RIBU MAYAT AS TERGELETAK! 10 JUTA WARGA...;2026-04-11;13.15;;;;;;;;;;;;;;;;;;;;;;;
DUNIA GEMPAR! IRAN UTUS MALAIKAT MAUT...;2026-04-11;10.15;;;;;;;;;;;;;;;;;;;;;;;
TRUMP DIUSIR PAKSA! 10 JUTA RAKYAT AS NGAMUK...;2026-04-11;07.15;;;;;;;;;;;;;;;;;;;;;;;
MALAYSIA SYOK! WARGA JIRAN AKUI INDONESIA MURAH, TAK SEPERTI DI MALAYSIA APA-APA MAHAL!;2026-04-12;20.00;;;;;;;;;;;;;;;;;;;;;;;
IRAN NGAMUK! PANGKALAN AS RATA DENGAN TANAH, RIBUAN TENTARA AS DIBURU IRGC IRAN!;2026-04-12;18.30;;;;;;;;;;;;;;;;;;;;;;;
SALAH PILIH LAWAN! 500 RUDAL IRAN MELEDAK DIMANA-MANA! WARGA ZIONIS KETAKUTAN, NETANYAHU PENGECUT!;2026-04-12;16.15;;;;;;;;;;;;;;;;;;;;;;;
BARAT GEMPAR! MAYAT TENTARA AS MATI KONYOL, RATUSAN TANK ISRAEL MELEDAK, WARGA ZIONIS SEKARAT!;2026-04-12;13.15;;;;;;;;;;;;;;;;;;;;;;;
DUNIA GEMETAR! IRAN KIRIM RIBUAN RUDAL NON STOP RATAKAN 1000 WARGA ZIONIS! TRUMP TAK SANGGUP LAGI!;2026-04-12;10.15;;;;;;;;;;;;;;;;;;;;;;;
GEMPAR! TRUMP PANIK TARIK SEMUA KAPAL INDUK! TRUMP RESMI DILENGSERKAN!;2026-04-12;07.15;;;;;;;;;;;;;;;;;;;;;;;
KACAU TOTAL! EKONOMI MALAYSIA AMBRUK, KINI TAK SANGGUP LAGI URUS MINYAK!;2026-04-13;20.15;;;;;;;;;;;;;;;;;;;;;;;
NGERI! MALAYSIA DIAMBANG BUBAR, KRISIS BERAS PARAH, ANWAR IBRAHIM MINTA BANTUAN KE INDONESIA!;2026-04-13;18.30;;;;;;;;;;;;;;;;;;;;;;;
JIRAN MEMANAS! DPR MALAYSIA RIBUT BESAR GARA-GARA BENDERA CHINA, MALU SAMA CINDO?;2026-04-13;16.15;;;;;;;;;;;;;;;;;;;;;;;
DUNIA KAGET! BELA IRAN, CHINA TEMBAK JET TEMPUR F-22 AS! TRUMP PANIK ANCAM XI JINPING!;2026-04-13;13.15;;;;;;;;;;;;;;;;;;;;;;;
AMERIKA BERDARAH! 10 RIBU TENTARA AS DIEKSEKUSI MATI IRAN, TRUMP DITENDANG DARI KURSI PRESIDEN!;2026-04-13;10.15;;;;;;;;;;;;;;;;;;;;;;;
KACAU! TRUMP DIKEROYOK 100 JUTA WARGA AS, IRAN & LEBANON RESMI RATAKAN ISRAEL!;2026-04-13;07.15;;;;;;;;;;;;;;;;;;;;;;;
HINA IQ78! JIRAN SEBUT SURABAYA KOTA BABU, NETIZEN INDO TAMPOL MULUT LANCANG MALAYSIA!;2026-04-14;20.30;;;;;;;;;;;;;;;;;;;;;;;
KLAIM TUMPUAN DUNIA! WARGA MALAYSIA NGAMUK BBM NAIK 212%, PRABOWO-PUTIN BERSATU, JIRAN TERPOJOK!;2026-04-14;18.30;;;;;;;;;;;;;;;;;;;;;;;
GEMPAR! MARKAS IDF JADI ABU, DESTROYER AS DITENGGELAMKAN IRAN, TRUMP STRESS BERAT KALAH PERANG!;2026-04-14;16.15;;;;;;;;;;;;;;;;;;;;;;;
KOCAK! SERING PAMER MINYAK MURAH, KINI WARGA MALAYSIA SHOCK HARGA ROTI CANAI GILA-GILAN!;2026-04-14;13.15;;;;;;;;;;;;;;;;;;;;;;;
KONDISI KRITIS! TRUMP DILARIKAN KE RS, TIM MEDIS AS AKUI TRUMP ALAMI GANGGUAN MENTAL!;2026-04-14;10.15;;;;;;;;;;;;;;;;;;;;;;;
KARMA! DULU HINA INDONESIA BABU, KINI RAKYAT MALAYSIA SENDIRI TERSIKSA & DIBUNGKAM;2026-04-14;07.15;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
